GameID,TournamentName,StartDate,EndDate,City,Country,TeamPlay,TotalUSDPrize,Game,Year
37294,The International 2019,8/15/2019,8/25/2019,Shanghai,China,1,34330069,Dota 2,2019
29385,The International 2018,8/15/2018,8/25/2018,Vancouver,Canada,1,25532177,Dota 2,2018
24181,The International 2017,8/2/2017,8/12/2017,Seattle,United States,1,24687919,Dota 2,2017
19287,The International 2016,8/3/2016,8/13/2016,Seattle,United States,1,20770460,Dota 2,2016
12894,The International 2015,8/3/2015,8/8/2015,Seattle/Washington,United States,1,18429613.05,Dota 2,2015
36422,Fortnite World Cup Finals 2019 - Solo,7/28/2019,7/28/2019,New York,United States,0,15287500,Fortnite,2019
36359,Fortnite World Cup Finals 2019 - Duo,7/27/2019,7/27/2019,New York,United States,1,15100000,Fortnite,2019
6418,The International 2014,7/8/2014,7/21/2014,Seattle/Washington,United States,1,10931103,Dota 2,2014
46021,PGI.S 2021 Main Event,2/5/2021,3/28/2021,Incheon,South Korea,1,7068071,PUBG,2021
30411,LoL 2018 World Championship,10/1/2018,11/3/2018,Seoul,South Korea,1,6450000,LOL,2018
20345,LoL 2016 World Championship,9/29/2016,10/29/2016,San Francisco,United States,1,5070000,LOL,2016
25365,LoL 2017 World Championship,9/23/2017,11/4/2017,Wuhan,China,1,4946969,LOL,2017
45303,Honor of Kings World Champion Cup 2020,7/15/2020,8/16/2020,Shanghai/Beijing,China,1,4606400,Arena Of Valor,2020
43235,Call of Duty League Championship 2019,8/19/2020,8/30/2020,N/A,North America,1,4600000,COD,2020
39365,PUBG Global Championship 2019,11/8/2019,11/2/2019,Manhattan Beach/Oakland,United States,1,4600000,PUBG,2019
30387,Fortnite Fall Skirmish Series - Clubs Standings,10/28/2018,10/28/2018,N/A,Online,1,4000000,Fortnite,2018
38051,Overwatch League - Season 2 Playoffs,8/30/2019,9/29/2019,Los Angeles/Philadelphia,United States,1,3500000,Overwatch,2019
36331,Fortnite World Cup Finals 2019 - Creative,7/26/2019,7/26/2019,New York,United States,1,3250000,Fortnite,2019
9205,DAC 2015,1/5/2015,2/9/2015,Shangai,China,1,3057521,Dota 2,2015
43694,Overwatch League 2020 - Playoffs - Grand Finals,10/8/2020,10/10/2020,N/A,Online,1,3050000,Overwatch,2020
40441,Six Invitational 2020,2/7/2020,2/16/2020,Montreal,Canada,1,3000000,R6,2020
20867,The Boston Major 2016,12/3/2016,12/10/2016,Boston,United States,1,3000000,Dota 2,2016
15444,The Frankfurt Major 2015,11/16/2015,11/21/2015,Frankfurt,Germany,1,3000000,Dota 2,2015
23088,The Kiev Major 2017,4/24/2017,4/30/2017,Kiev,Ukraine,1,3000000,Dota 2,2017
